Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#B1318,Branche data,,"Krydslamineret træ, CLT (Forbrænding EoL)",-664,744,0,-387,1,M3,470,https://www.epddanmark.dk/media/tmwhxyym/md-20007-en_rev1_tr%c3%a6dk.pdf,
#B1325,Branche data,,"Konstruktionstræ af nåletræ, Høvlet (Forbrænding EoL)",-652,709,0,-425,1,M3,536,https://www.epddanmark.dk/media/4p1frhby/md-20003-en-tr%c3%a6-dk-c-o-tr%c3%a6-og-m%c3%b8belindustrien.pdf,
#B1332,Branche data,,"Konstruktionstræ af nåletræ, utørret og opsavet (Forbrænding EoL)",-664,709,0,-425,1,M3,644,https://www.epddanmark.dk/media/oxujrihc/md-20001-en-tr%c3%a6-dk-c-o-tr%c3%a6-og-m%c3%b8belindustrien.pdf,
#B1339,Branche data,,"Limtræs-produkter af fyr og gran, (Forbrænding EoL)",-610,743,0,-395,1,M3,500,https://www.epddanmark.dk/media/hzjhj3s2/md-20005-en_rev1_tr%c3%a6dk.pdf,
#B1346,Branche data,,"Huldæk element, 22 cm, 6-10 forspændingsliner",49.8,1.04,0.76,-0.705,1,M2,344.6,https://www.epddanmark.dk/media/ksolk4dz/md-20017-da_rev2-betonelement-foreningen.pdf,
#B1350,Branche data,,"Huldæk element, 32 cm, 6-10 forspændingsliner",66.4,1.4,1.03,-0.953,1,M2,459.6,https://www.epddanmark.dk/media/ksolk4dz/md-20017-da_rev2-betonelement-foreningen.pdf,
#B1354,Branche data,,"Huldæk element, 32 cm, 11-17 forspændingsliner",67.9,1.37,1,-0.925,1,M2,451.4,https://www.epddanmark.dk/media/ksolk4dz/md-20017-da_rev2-betonelement-foreningen.pdf,
#B1358,Branche data,,"Letklinkerblok, Massiv",194,1.6,1.19,-1.1,1,M3,600,https://www.epddanmark.dk/media/n5xnbcl5/md-20023-da_rev1-dansk-beton-blokforeningen.pdf,
#B1362,Branche data,,Letklinkerblok med hvid EPS isolering,130,0.961,6.19,-4.39,1,M3,375,https://www.epddanmark.dk/media/n5xnbcl5/md-20023-da_rev1-dansk-beton-blokforeningen.pdf,
#B1366,Branche data,,Letklinkerblok med grå EPS isolering,121,0.836,0.618,-0.572,1,M3,327,https://www.epddanmark.dk/media/n5xnbcl5/md-20023-da_rev1-dansk-beton-blokforeningen.pdf,
#B1370,Branche data,,"Konstruktionstræ af fyr og gran, Høvlet (Forbrænding EoL)",-670,728,0,-371,1,M3,456,https://www.epddanmark.dk/media/l4zjf2xp/md-20004-en_rev1_tr%c3%a6dk.pdf,
#B1377,Branche data,,Sandwichelement med mineraluld (Facade),90.6,1.51,1.25,-1.21,1,M2,501.8,https://www.epddanmark.dk/media/0bpbhpbl/md-20019-da_rev2.pdf,
#B1381,Branche data,,Sandwichelement med EPS (Facade),87.3,1.49,10.8,-7.83,1,M2,495.2,https://www.epddanmark.dk/media/0bpbhpbl/md-20019-da_rev2.pdf,
#B1385,Branche data,,"Beton vægelementer, 15 cm tyk væg med 5-15 kg armering  (11% udsparinger)",53.1,0.965,0.7,-0.787,1,M2,320.9,https://www.epddanmark.dk/media/oq0dzm1j/md-20015-da_rev1-betonelement-foreningen.pdf,
#B1389,Branche data,,"Beton vægelementer, 20 cm tyk væg med 5-15 kg armering (11% udsparinger)",66.9,1.28,0.93,-1.01,1,M2,426.4,https://www.epddanmark.dk/media/oq0dzm1j/md-20015-da_rev1-betonelement-foreningen.pdf,
#B1393,Branche data,,"Beton vægelementer, 20 cm tyk væg med 16-25 kg armering (11% udsparinger)",73.2,1.29,0.932,-1.08,1,M2,433.9,https://www.epddanmark.dk/media/oq0dzm1j/md-20015-da_rev1-betonelement-foreningen.pdf,
#B1397,Branche data,,"Letbeton vægelement, 100 mm tyk væg, 10% udsparinger",26.8,0.486,0.356,-0.363,1,M2,161.5,https://www.epddanmark.dk/media/niyexcvm/md-20016-da_rev1-betonelement-foreningen.pdf,
#B1401,Branche data,,"Letbeton vægelement, 150 mm tyk væg, 10% udsparinger",38.6,0.744,0.538,-0.621,1,M2,242.4,https://www.epddanmark.dk/media/niyexcvm/md-20016-da_rev1-betonelement-foreningen.pdf,
#B1405,Branche data,,"Letbeton vægelement, 220 mm tyk væg, 10% udsparinger",63,1.15,0.836,-0.931,1,M2,394.8,https://www.epddanmark.dk/media/niyexcvm/md-20016-da_rev1-betonelement-foreningen.pdf,
#B1409,Branche data,,"TT-element/Ribbedæk, TT60 med 12-18 STK. L12,5 liner, og 1,3-3,3 kg slap armering",56.3,1,0.734,-0.695,1,M2,332.7,https://www.epddanmark.dk/media/jylpjfbu/md-20018-da_rev2.pdf,
#B1413,Branche data,,"TT-element/Ribbedæk, TTS90 med 16-22 STK. L12,5 liner, og 1-2,5 kg slap armering",55.3,0.908,0.658,-0.613,1,M2,302,https://www.epddanmark.dk/media/jylpjfbu/md-20018-da_rev2.pdf,
#B1417,Branche data,,"TT-element/Ribbedæk, TT60 med 20-28 STK. L12,5 liner, og 2-4 kg slap armering",57.7,1.01,0.734,-0.711,1,M2,335.1,https://www.epddanmark.dk/media/jylpjfbu/md-20018-da_rev2.pdf,
